Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Arsenal,26,38.0,51,0,0,373,435,56,674,237,343,3,5,1,1984,486,559,46.5
Aston Villa,26,38.0,80,1,0,417,498,58,561,324,338,4,6,4,1847,442,465,48.7
Bournemouth,31,38.0,68,0,0,391,365,38,509,353,371,0,7,3,1942,521,539,49.2
Brentford,25,38.0,57,1,1,354,399,72,661,341,337,7,2,3,1959,665,618,51.8
Brighton,29,38.0,58,0,0,427,407,70,694,303,340,4,8,6,2013,444,387,53.4
Chelsea,32,38.0,81,3,2,397,462,74,693,341,445,3,1,3,2024,493,453,52.1
Crystal Palace,26,38.0,82,3,2,446,479,58,591,359,421,2,4,3,2093,496,578,46.2
Everton,28,38.0,81,2,1,396,382,64,704,390,424,3,6,0,2049,582,613,48.7
Fulham,29,38.0,80,1,0,411,405,60,769,340,349,8,8,2,1979,511,550,48.2
Leeds United,29,38.0,89,3,2,467,405,60,653,392,480,2,6,1,2206,586,607,49.1
Leicester City,28,38.0,63,2,2,410,397,83,496,367,412,5,5,5,2013,512,558,47.9
Liverpool,28,38.0,57,1,0,405,321,84,799,333,370,3,4,2,2211,482,455,51.4
Manchester City,24,38.0,44,1,0,347,384,51,742,223,272,9,3,1,1866,438,364,54.6
Manchester Utd,26,38.0,78,2,0,424,297,79,516,352,400,2,3,1,2190,465,434,51.7
Newcastle Utd,27,38.0,61,1,0,406,399,71,740,333,360,2,5,2,2065,553,427,56.4
Nott'ham Forest,33,38.0,84,0,0,445,390,67,530,349,387,3,9,0,1902,560,600,48.3
Southampton,36,38.0,73,0,0,430,378,57,613,428,426,3,3,5,2130,551,611,47.4
Tottenham,29,38.0,77,3,1,424,353,67,719,340,353,5,4,1,1984,549,474,53.7
West Ham,25,38.0,44,0,0,362,316,62,769,408,335,6,6,1,2023,620,587,51.4
Wolves,32,38.0,85,6,1,463,389,62,661,279,370,1,4,1,2052,465,542,46.2
