Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Alavés,30,38.0,35,339,95,28.0,8.92,2.50,0.09,0.32,17.4,12,5,8,42.6,36.4,0.11,-7.6,-6.4
Athletic Club,27,38.0,43,399,128,32.1,10.50,3.37,0.10,0.30,17.4,15,4,5,43.1,39.2,0.10,-0.1,-0.2
Atlético Madrid,25,38.0,65,452,178,39.4,11.89,4.68,0.13,0.34,17.6,13,5,7,52.8,47.2,0.11,+12.2,+12.8
Barcelona,25,38.0,80,575,231,40.2,15.13,6.08,0.13,0.33,17.1,43,4,8,73.5,67.1,0.12,+6.5,+8.9
Betis,25,38.0,50,432,145,33.6,11.37,3.82,0.10,0.29,18.9,16,8,11,49.1,40.5,0.10,+0.9,+1.5
Cádiz,34,38.0,33,299,97,32.4,7.87,2.55,0.10,0.30,17.6,14,4,4,34.7,31.6,0.11,-1.7,-2.6
Celta Vigo,30,38.0,55,350,133,38.0,9.21,3.50,0.14,0.36,17.0,13,7,7,50.4,44.9,0.13,+4.6,+3.1
Eibar,30,38.0,29,443,127,28.7,11.66,3.34,0.06,0.20,18.1,14,4,9,45.2,38.3,0.09,-16.2,-13.3
Elche,30,38.0,33,265,86,32.5,6.97,2.26,0.12,0.36,16.8,12,2,3,29.9,27.5,0.11,+3.1,+3.5
Getafe,31,38.0,27,355,97,27.3,9.34,2.55,0.07,0.25,18.8,24,3,5,34.4,30.5,0.09,-7.4,-6.5
Granada,34,38.0,47,354,121,34.2,9.32,3.18,0.12,0.36,19.1,21,3,5,41.1,37.3,0.11,+5.9,+6.7
Huesca,27,38.0,32,404,130,32.2,10.63,3.42,0.07,0.22,18.0,13,3,4,38.9,36.1,0.09,-6.9,-7.1
Levante,29,38.0,45,376,125,33.2,9.89,3.29,0.11,0.34,18.2,10,3,6,40.4,35.7,0.10,+4.6,+6.3
Osasuna,28,38.0,36,368,114,31.0,9.68,3.00,0.08,0.27,18.8,7,5,6,38.7,34.7,0.10,-2.7,-3.7
Real Madrid,30,38.0,64,544,167,30.7,14.32,4.39,0.11,0.37,17.7,17,3,3,61.5,59.2,0.11,+2.5,+1.8
Real Sociedad,30,38.0,58,417,139,33.3,10.97,3.66,0.12,0.35,16.5,20,9,12,60.7,51.5,0.13,-2.7,-2.5
Sevilla,26,38.0,52,454,135,29.7,11.95,3.55,0.10,0.34,17.2,15,6,7,54.4,48.9,0.11,-2.4,-2.9
Valencia,30,38.0,48,383,129,33.7,10.08,3.39,0.10,0.31,20.1,32,8,10,42.6,34.8,0.09,+5.4,+5.2
Valladolid,32,38.0,34,359,110,30.6,9.45,2.89,0.08,0.25,18.7,25,7,8,40.1,33.8,0.10,-6.1,-6.8
Villarreal,29,38.0,57,392,146,37.2,10.32,3.84,0.11,0.31,17.0,13,12,13,56.4,46.4,0.12,+0.6,-1.4
