Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Augsburg,34,34.0,522,299,251,202,69,232,479,48.4,247,429,126,303,286,808,755,14
Bayern Munich,28,34.0,623,387,263,258,102,287,538,53.3,251,381,77,304,287,910,477,19
Bochum,26,34.0,626,386,301,247,78,310,635,48.8,325,402,118,284,337,963,776,13
Dortmund,30,34.0,580,334,246,241,93,287,551,52.1,264,382,95,287,298,878,491,9
Eint Frankfurt,28,34.0,562,357,244,248,70,265,585,45.3,320,415,88,327,284,846,687,5
Freiburg,27,34.0,498,289,223,211,64,207,450,46.0,243,375,106,269,325,823,612,10
Hertha BSC,32,34.0,576,344,307,215,54,251,521,48.2,270,416,132,284,366,942,797,8
Hoffenheim,31,34.0,543,323,254,231,58,236,474,49.8,238,428,119,309,285,828,665,8
Köln,27,34.0,615,370,287,263,65,310,666,46.5,356,423,99,324,372,987,716,5
Leverkusen,27,34.0,494,280,242,206,46,236,421,56.1,185,358,99,259,294,788,599,12
M'Gladbach,27,34.0,497,275,274,171,52,267,536,49.8,269,405,104,301,267,764,728,7
Mainz 05,27,34.0,547,341,268,206,73,270,559,48.3,289,419,98,321,433,980,673,9
RB Leipzig,25,34.0,534,312,237,231,66,253,512,49.4,259,428,94,334,310,844,552,3
Schalke 04,35,34.0,542,329,240,246,56,253,551,45.9,298,397,110,287,306,848,723,12
Stuttgart,30,34.0,528,316,255,207,66,268,524,51.1,256,421,113,308,308,836,666,10
Union Berlin,28,34.0,494,278,217,216,61,239,525,45.5,286,356,101,255,262,756,704,6
Werder Bremen,25,34.0,595,349,269,273,53,300,617,48.6,317,371,103,268,321,916,789,7
Wolfsburg,28,34.0,543,324,255,206,82,265,521,50.9,256,443,116,327,292,835,701,9
