Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Ajax,30,34.0,94,673,234,34.8,19.79,6.88,0.13,0.38,16.0,15,6,9,94.3,87.4,0.13,-0.3,+0.6
AZ Alkmaar,28,34.0,62,453,163,36.0,13.32,4.79,0.12,0.34,17.2,12,6,7,57.7,52.2,0.12,+4.3,+3.8
Cambuur,27,34.0,51,332,125,37.7,9.76,3.68,0.14,0.38,19.2,9,4,5,40.8,36.9,0.11,+10.2,+10.1
Feyenoord,31,34.0,75,649,223,34.4,19.09,6.56,0.11,0.32,17.7,22,3,4,72.4,69.3,0.11,+2.6,+2.7
Fortuna Sittard,29,34.0,35,338,123,36.4,9.94,3.62,0.09,0.26,19.7,19,3,3,35.5,33.1,0.10,-0.5,-1.1
Go Ahead Eag,26,34.0,36,357,123,34.5,10.50,3.62,0.10,0.28,17.3,10,2,2,36.4,34.9,0.10,-0.4,-0.9
Groningen,28,34.0,39,390,136,34.9,11.47,4.00,0.10,0.28,18.6,19,1,1,39.1,38.3,0.10,-0.1,-0.3
Heerenveen,32,34.0,34,398,128,32.2,11.71,3.76,0.08,0.24,17.8,9,3,3,44.7,42.1,0.11,-10.7,-11.1
Heracles Almelo,31,34.0,32,420,131,31.2,12.35,3.85,0.07,0.24,18.1,19,1,2,41.5,40.0,0.10,-9.5,-9.0
NEC Nijmegen,25,34.0,38,410,153,37.3,12.06,4.50,0.09,0.24,18.3,15,2,3,43.8,41.5,0.10,-5.8,-5.5
PSV Eindhoven,30,34.0,84,615,250,40.7,18.09,7.35,0.13,0.33,16.6,17,1,1,74.8,74.0,0.12,+9.2,+9.0
RKC Waalwijk,26,34.0,39,367,116,31.6,10.79,3.41,0.10,0.33,18.2,16,1,2,38.3,36.8,0.10,+0.7,+1.2
Sparta R'dam,32,34.0,30,328,104,31.7,9.65,3.06,0.09,0.28,18.4,13,1,2,33.3,31.7,0.10,-3.3,-2.7
Twente,28,34.0,53,429,139,32.4,12.62,4.09,0.11,0.35,17.7,11,5,6,53.7,49.4,0.12,-0.7,-1.4
Utrecht,36,34.0,49,463,154,33.3,13.62,4.53,0.10,0.29,15.9,6,5,6,61.6,57.0,0.13,-12.6,-13.0
Vitesse,29,34.0,42,509,165,32.4,14.97,4.85,0.08,0.24,19.1,22,3,4,48.8,46.2,0.09,-6.8,-7.2
Willem II,33,34.0,30,351,102,29.1,10.32,3.00,0.09,0.29,18.3,11,0,0,35.3,35.3,0.10,-5.3,-5.3
Zwolle,32,34.0,26,416,126,30.3,12.24,3.71,0.06,0.18,18.1,17,3,4,39.9,36.8,0.09,-13.9,-13.8
