Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
América,31,27.8,56.6,34,374,3060,34.0,73,53,126,68,5,6,63,0,55.8,51.1,42.1,93.2,654,1697,2.15,1.56,3.71,2.00,3.56,1.64,1.24,2.88,1.50,2.74
Atlas,30,27.9,51.2,34,374,3060,34.0,42,26,68,38,4,5,74,6,43.5,39.5,31.1,70.6,441,1189,1.24,0.76,2.00,1.12,1.88,1.28,0.91,2.19,1.16,2.08
Atlético,33,27.8,44.7,34,374,3060,34.0,27,20,47,23,4,5,78,4,34.2,30.2,24.2,54.5,477,1069,0.79,0.59,1.38,0.68,1.26,1.01,0.71,1.72,0.89,1.60
Cruz Azul,31,27.9,47.3,34,374,3060,34.0,46,32,78,39,7,8,79,8,40.7,34.4,27.8,62.2,478,1203,1.35,0.94,2.29,1.15,2.09,1.20,0.82,2.01,1.01,1.83
FC Juárez,36,29.7,50.5,34,374,3060,34.0,34,21,55,32,2,5,86,8,35.0,31.0,22.2,53.2,526,1237,1.00,0.62,1.62,0.94,1.56,1.03,0.65,1.68,0.91,1.57
Guadalajara,31,26.0,49.1,34,374,3060,34.0,44,31,75,39,5,8,78,7,45.4,39.0,29.8,68.8,619,1288,1.29,0.91,2.21,1.15,2.06,1.33,0.88,2.21,1.15,2.02
León,30,27.3,51.5,34,374,3060,34.0,46,33,79,44,2,2,76,12,44.7,43.2,33.9,77.1,645,1254,1.35,0.97,2.32,1.29,2.26,1.32,1.00,2.31,1.27,2.27
Mazatlán,31,27.5,47.4,34,374,3060,34.0,33,21,54,32,1,3,83,4,32.3,30.0,21.9,51.9,484,1133,0.97,0.62,1.59,0.94,1.56,0.95,0.64,1.59,0.88,1.53
Monterrey,32,28.4,48.4,34,374,3060,34.0,63,48,111,58,5,9,80,2,57.0,50.0,41.2,91.2,491,1212,1.85,1.41,3.26,1.71,3.12,1.68,1.21,2.89,1.47,2.68
Necaxa,32,26.7,46.2,34,374,3060,34.0,33,22,55,30,3,4,90,2,32.2,29.1,21.5,50.7,429,1074,0.97,0.65,1.62,0.88,1.53,0.95,0.63,1.58,0.86,1.49
Pachuca,29,27.0,55.1,34,374,3060,34.0,58,39,97,53,5,6,68,4,51.8,47.1,35.4,82.5,765,1426,1.71,1.15,2.85,1.56,2.71,1.52,1.04,2.56,1.38,2.43
Puebla,36,28.6,49.2,34,374,3060,34.0,50,41,91,46,4,4,95,2,41.0,38.0,30.1,68.1,536,1107,1.47,1.21,2.68,1.35,2.56,1.20,0.89,2.09,1.12,2.00
Querétaro,38,29.2,46.1,34,374,3060,34.0,33,24,57,29,4,6,83,3,36.5,31.8,26.2,58.0,430,1061,0.97,0.71,1.68,0.85,1.56,1.07,0.77,1.84,0.94,1.71
Santos,32,25.8,46.4,34,374,3060,34.0,61,37,98,51,10,10,66,6,52.6,44.7,30.5,75.2,567,1232,1.79,1.09,2.88,1.50,2.59,1.55,0.90,2.44,1.32,2.21
Tijuana,33,28.1,48.0,34,374,3060,34.0,32,17,49,27,5,7,85,7,39.9,34.6,26.6,61.3,562,1326,0.94,0.50,1.44,0.79,1.29,1.17,0.78,1.96,1.02,1.80
Toluca,33,28.3,58.6,34,374,3060,34.0,60,42,102,49,11,11,73,8,53.1,44.9,35.2,80.0,564,1371,1.76,1.24,3.00,1.44,2.68,1.56,1.03,2.60,1.32,2.35
UANL,36,29.7,55.1,34,374,3060,34.0,43,32,75,39,4,5,90,10,47.3,43.6,34.9,78.5,649,1545,1.26,0.94,2.21,1.15,2.09,1.39,1.03,2.42,1.28,2.31
UNAM,34,27.7,48.5,34,374,3060,34.0,44,34,78,40,4,5,85,8,47.7,44.0,32.5,76.5,570,1162,1.29,1.00,2.29,1.18,2.18,1.40,0.96,2.36,1.29,2.25
