Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Augsburg,34,34.0,41,354,101,28.5,10.41,2.97,0.10,0.37,18.2,14,4,5,34.7,30.9,0.09,+6.3,+6.1
Bayern Munich,28,34.0,90,625,251,40.2,18.38,7.38,0.14,0.35,16.7,10,3,5,75.0,71.0,0.12,+15.0,+16.0
Bochum,26,34.0,37,397,127,32.0,11.68,3.74,0.09,0.27,18.1,11,3,3,40.0,37.7,0.10,-3.0,-3.7
Dortmund,30,34.0,81,558,219,39.2,16.41,6.44,0.14,0.35,16.6,20,4,6,71.1,66.5,0.12,+9.9,+10.5
Eint Frankfurt,28,34.0,56,399,132,33.1,11.74,3.88,0.13,0.38,16.9,14,6,6,52.1,47.4,0.12,+3.9,+2.6
Freiburg,27,34.0,51,413,167,40.4,12.15,4.91,0.11,0.26,17.1,16,7,8,48.0,41.6,0.11,+3.0,+2.4
Hertha BSC,32,34.0,42,377,121,32.1,11.09,3.56,0.09,0.29,18.4,11,7,7,39.4,33.9,0.09,+2.6,+1.1
Hoffenheim,31,34.0,46,398,130,32.7,11.71,3.82,0.10,0.30,17.3,16,7,9,48.0,41.1,0.10,-2.0,-2.1
Köln,27,34.0,46,413,146,35.4,12.15,4.29,0.10,0.29,16.2,6,4,4,47.9,44.7,0.11,-1.9,-2.7
Leverkusen,27,34.0,57,432,160,37.0,12.71,4.71,0.12,0.33,17.4,16,5,7,51.4,46.0,0.11,+5.6,+6.0
M'Gladbach,27,34.0,52,403,166,41.2,11.85,4.88,0.12,0.29,17.3,12,4,6,52.1,47.5,0.12,-0.1,+0.5
Mainz 05,27,34.0,54,414,152,36.7,12.18,4.47,0.12,0.33,17.1,17,4,6,47.1,42.4,0.11,+6.9,+7.6
RB Leipzig,25,34.0,64,497,182,36.6,14.62,5.35,0.12,0.32,17.5,18,6,7,62.7,57.4,0.12,+1.3,+0.6
Schalke 04,35,34.0,32,421,123,29.2,12.38,3.62,0.07,0.23,17.7,19,4,5,39.6,35.9,0.09,-7.6,-7.9
Stuttgart,30,34.0,45,457,140,30.6,13.44,4.12,0.09,0.29,17.9,14,5,5,47.6,43.7,0.10,-2.6,-3.7
Union Berlin,28,34.0,49,374,113,30.2,11.00,3.32,0.12,0.41,17.9,5,3,7,37.9,32.5,0.09,+11.1,+13.5
Werder Bremen,25,34.0,50,363,136,37.5,10.68,4.00,0.12,0.33,17.9,18,5,6,41.1,36.4,0.10,+8.9,+8.6
Wolfsburg,28,34.0,55,401,138,34.4,11.79,4.06,0.13,0.37,16.9,11,4,7,51.3,45.8,0.12,+3.7,+5.
