Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Alavés,33,27.9,42.0,38,418,3420,38.0,29,20,49,23,6,7,93,4,37.3,31.8,25.5,57.3,420,984,0.76,0.53,1.29,0.61,1.13,0.98,0.67,1.65,0.84,1.51
Athletic Club,26,26.9,48.1,38,418,3420,38.0,40,34,74,37,3,7,90,4,49.6,44.0,37.5,81.6,653,1572,1.05,0.89,1.95,0.97,1.87,1.31,0.99,2.29,1.16,2.15
Atlético Madrid,26,28.1,50.6,38,418,3420,38.0,63,45,108,59,4,5,111,7,54.4,50.6,40.2,90.8,705,1463,1.66,1.18,2.84,1.55,2.74,1.43,1.06,2.49,1.33,2.39
Barcelona,38,26.2,64.2,38,418,3420,38.0,68,52,120,62,6,7,97,5,63.4,57.9,47.6,105.5,961,2079,1.79,1.37,3.16,1.63,3.00,1.67,1.25,2.92,1.52,2.78
Betis,31,28.9,53.7,38,418,3420,38.0,60,45,105,54,6,6,87,6,53.5,48.8,37.7,86.5,666,1518,1.58,1.18,2.76,1.42,2.61,1.41,0.99,2.40,1.29,2.28
Cádiz,33,28.5,41.3,38,418,3420,38.0,35,21,56,32,3,6,105,3,39.5,34.8,24.6,59.4,571,1080,0.92,0.55,1.47,0.84,1.39,1.04,0.65,1.69,0.91,1.56
Celta Vigo,25,28.4,55.2,38,418,3420,38.0,43,29,72,40,3,6,87,3,43.1,38.3,28.8,67.2,665,1447,1.13,0.76,1.89,1.05,1.82,1.13,0.76,1.89,1.01,1.77
Elche,28,29.1,48.4,38,418,3420,38.0,39,29,68,38,1,1,104,6,33.7,32.9,27.6,60.5,531,1102,1.03,0.76,1.79,1.00,1.76,0.89,0.73,1.61,0.86,1.59
Espanyol,34,27.7,46.9,38,418,3420,38.0,39,25,64,34,5,5,99,7,36.7,32.9,25.8,58.7,610,1212,1.03,0.66,1.68,0.89,1.55,0.97,0.68,1.65,0.87,1.55
Getafe,31,26.6,41.5,38,418,3420,38.0,31,26,57,28,3,5,121,8,29.3,25.3,19.4,44.7,399,917,0.82,0.68,1.50,0.74,1.42,0.77,0.51,1.28,0.67,1.18
Granada,32,28.1,44.7,38,418,3420,38.0,43,28,71,40,3,5,105,4,39.0,35.1,26.7,61.8,435,1047,1.13,0.74,1.87,1.05,1.79,1.03,0.70,1.73,0.92,1.63
Levante,31,28.0,47.2,38,418,3420,38.0,51,34,85,43,8,13,109,6,55.1,45.1,31.7,76.9,569,1343,1.34,0.89,2.24,1.13,2.03,1.45,0.84,2.28,1.19,2.02
Mallorca,33,27.9,45.3,38,418,3420,38.0,33,23,56,27,6,7,114,7,38.8,33.3,25.7,59.0,575,1129,0.87,0.61,1.47,0.71,1.32,1.02,0.68,1.70,0.88,1.55
Osasuna,29,27.7,46.9,38,418,3420,38.0,37,23,60,31,6,8,84,2,36.7,30.7,22.9,53.6,417,1328,0.97,0.61,1.58,0.82,1.42,0.96,0.60,1.57,0.81,1.41
Rayo Vallecano,28,27.5,49.9,38,418,3420,38.0,38,28,66,34,4,4,101,3,42.8,39.7,30.7,70.3,697,1312,1.00,0.74,1.74,0.89,1.63,1.13,0.81,1.93,1.04,1.85
Real Madrid,31,27.7,59.9,38,418,3420,38.0,80,59,139,72,8,12,76,0,71.7,62.2,50.7,112.9,1029,2078,2.11,1.55,3.66,1.89,3.45,1.89,1.33,3.22,1.64,2.97
Real Sociedad,32,25.7,54.3,38,418,3420,38.0,40,22,62,31,9,10,77,4,51.5,43.8,32.9,76.7,667,1462,1.05,0.58,1.63,0.82,1.39,1.36,0.87,2.22,1.15,2.02
Sevilla,33,28.6,59.4,38,418,3420,38.0,51,40,91,49,2,3,97,4,42.4,40.0,32.5,72.5,625,1596,1.34,1.05,2.39,1.29,2.34,1.12,0.86,1.97,1.05,1.91
Valencia,34,24.8,43.6,38,418,3420,38.0,45,30,75,37,8,9,134,8,39.0,32.2,25.4,57.6,554,1202,1.18,0.79,1.97,0.97,1.76,1.03,0.67,1.69,0.85,1.52
Villarreal,29,28.0,56.8,38,418,3420,38.0,62,51,113,57,5,6,81,1,64.2,60.0,50.9,110.9,790,1698,1.63,1.34,2.97,1.50,2.84,1.69,1.34,3.03,1.58,2.92
