Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
América,31,34.0,2.15,16.1,5.29,32.8,16.12,5.29,0.12,0.38,19.2,0.91,0.15,0.18,1.64,1.50,0.09,0.51,0.50
Atlas,30,34.0,1.24,12.8,3.79,29.7,12.79,3.79,0.09,0.29,19.6,0.79,0.12,0.15,1.28,1.16,0.09,-0.04,-0.04
Atlético,33,34.0,0.79,10.8,3.35,31.0,10.82,3.35,0.06,0.20,19.7,0.41,0.12,0.15,1.01,0.89,0.08,-0.21,-0.21
Cruz Azul,31,34.0,1.35,11.7,3.65,31.1,11.74,3.65,0.10,0.31,18.6,0.56,0.21,0.24,1.20,1.01,0.09,0.16,0.14
FC Juárez,36,34.0,1.00,11.9,3.06,25.6,11.94,3.06,0.08,0.31,19.5,0.82,0.06,0.15,1.03,0.91,0.08,-0.03,0.03
Guadalajara,31,34.0,1.29,14.3,4.44,31.1,14.26,4.44,0.08,0.26,20.0,0.82,0.15,0.24,1.34,1.15,0.08,-0.04,0.00
León,30,34.0,1.35,14.1,4.59,32.6,14.06,4.59,0.09,0.28,18.2,0.65,0.06,0.06,1.31,1.27,0.09,0.04,0.02
Mazatlán,31,34.0,0.97,11.8,3.59,30.4,11.79,3.59,0.08,0.26,20.2,0.59,0.03,0.09,0.95,0.88,0.08,0.02,0.06
Monterrey,32,34.0,1.85,15.8,5.71,36.2,15.76,5.71,0.11,0.30,19.4,0.50,0.15,0.26,1.68,1.47,0.10,0.18,0.24
Necaxa,32,34.0,0.97,12.5,3.44,27.5,12.50,3.44,0.07,0.26,19.6,0.32,0.09,0.12,0.95,0.86,0.07,0.02,0.03
Pachuca,29,34.0,1.71,17.7,6.12,34.5,17.74,6.12,0.09,0.25,20.9,1.15,0.15,0.18,1.52,1.39,0.08,0.18,0.17
Puebla,36,34.0,1.47,13.3,4.44,33.3,13.32,4.44,0.10,0.30,20.0,0.47,0.12,0.12,1.21,1.12,0.09,0.26,0.24
Querétaro,38,34.0,0.97,12.1,3.71,30.5,12.15,3.71,0.07,0.23,20.0,0.56,0.12,0.18,1.07,0.94,0.08,-0.10,-0.08
Santos,32,34.0,1.79,15.3,5.47,35.8,15.29,5.47,0.10,0.27,19.1,0.97,0.29,0.29,1.55,1.31,0.09,0.25,0.19
Tijuana,33,34.0,0.94,13.1,3.76,28.6,13.15,3.76,0.06,0.21,19.1,0.29,0.15,0.21,1.17,1.02,0.08,-0.23,-0.22
Toluca,33,34.0,1.76,14.1,5.50,39.0,14.12,5.50,0.10,0.26,18.8,0.88,0.32,0.32,1.56,1.32,0.10,0.20,0.12
UANL,36,34.0,1.26,15.7,4.82,30.7,15.74,4.82,0.07,0.24,19.2,0.88,0.12,0.15,1.39,1.28,0.08,-0.13,-0.14
UNAM,34,34.0,1.29,15.2,5.21,34.2,15.21,5.21,0.08,0.23,19.3,0.79,0.12,0.15,1.40,1.29,0.09,-0.11,-0.12
