Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
ADO Den Haag,37,24.4,42.6,34,374,3060,34.0,27,20,47,23,4,5,59,2,26.1,22.2,18.1,40.4,465,903,0.79,0.59,1.38,0.68,1.26,0.77,0.53,1.30,0.65,1.19
Ajax,30,24.7,63.5,34,374,3060,34.0,99,74,173,89,10,11,35,4,97.5,90.0,70.3,160.4,820,2346,2.91,2.18,5.09,2.62,4.79,2.87,2.07,4.94,2.65,4.72
AZ Alkmaar,25,23.8,55.1,34,374,3060,34.0,72,45,117,63,9,13,38,7,69.0,59.0,45.6,104.7,722,1694,2.12,1.32,3.44,1.85,3.18,2.03,1.34,3.37,1.74,3.08
Emmen,32,26.6,53.6,34,374,3060,34.0,39,15,54,30,9,10,50,5,45.5,37.8,27.3,65.1,462,1147,1.15,0.44,1.59,0.88,1.32,1.34,0.80,2.14,1.11,1.91
Feyenoord,30,26.3,55.2,34,374,3060,34.0,63,39,102,54,9,11,42,4,64.2,57.1,45.0,102.1,668,1700,1.85,1.15,3.00,1.59,2.74,1.89,1.32,3.21,1.68,3.00
Fortuna Sittard,30,25.6,45.8,34,374,3060,34.0,49,34,83,45,4,4,45,2,46.4,43.6,33.8,77.5,455,1023,1.44,1.00,2.44,1.32,2.32,1.37,0.99,2.36,1.28,2.28
Groningen,29,24.2,49.3,34,374,3060,34.0,39,33,72,39,0,0,49,3,42.1,42.1,32.7,74.9,637,1102,1.15,0.97,2.12,1.15,2.12,1.24,0.96,2.20,1.24,2.20
Heerenveen,24,24.2,47.3,34,374,3060,34.0,43,34,77,40,3,4,41,5,46.0,42.9,34.1,77.0,593,1216,1.26,1.00,2.26,1.18,2.18,1.35,1.00,2.36,1.26,2.26
Heracles Almelo,28,24.2,46.7,34,374,3060,34.0,42,30,72,37,5,6,48,2,43.6,38.9,30.6,69.5,595,1186,1.24,0.88,2.12,1.09,1.97,1.28,0.90,2.18,1.14,2.04
PSV Eindhoven,36,24.1,58.4,34,374,3060,34.0,72,57,129,67,5,9,40,0,70.6,63.7,51.8,115.6,759,1867,2.12,1.68,3.79,1.97,3.65,2.08,1.52,3.60,1.87,3.40
RKC Waalwijk,27,25.1,47.8,34,374,3060,34.0,33,28,61,31,2,2,34,2,31.6,30.1,24.6,54.7,586,1244,0.97,0.82,1.79,0.91,1.74,0.93,0.72,1.65,0.89,1.61
Sparta R'dam,23,26.1,43.6,34,374,3060,34.0,48,32,80,43,5,5,43,4,46.4,42.5,34.3,76.8,394,1156,1.41,0.94,2.35,1.26,2.21,1.36,1.01,2.37,1.25,2.26
Twente,28,23.3,49.3,34,374,3060,34.0,47,32,79,41,6,7,47,3,45.5,40.0,29.7,69.7,579,1293,1.38,0.94,2.32,1.21,2.15,1.34,0.87,2.21,1.18,2.05
Utrecht,31,25.6,49.5,34,374,3060,34.0,50,34,84,46,4,6,42,1,67.1,62.9,48.5,111.5,646,1594,1.47,1.00,2.47,1.35,2.35,1.97,1.43,3.40,1.85,3.28
Vitesse,26,25.0,54.2,34,374,3060,34.0,52,38,90,48,4,4,60,5,49.6,46.5,34.9,81.4,674,1385,1.53,1.12,2.65,1.41,2.53,1.46,1.03,2.49,1.37,2.39
VVV-Venlo,29,26.9,43.2,34,374,3060,34.0,42,27,69,34,8,9,47,5,41.0,34.0,27.9,61.8,492,1027,1.24,0.79,2.03,1.00,1.79,1.21,0.82,2.03,1.00,1.82
Willem II,30,24.6,43.8,34,374,3060,34.0,39,28,67,36,3,3,47,4,42.6,40.3,31.0,71.4,586,1107,1.15,0.82,1.97,1.06,1.88,1.25,0.91,2.17,1.19,2.10
Zwolle,27,24.7,51.1,34,374,3060,34.0,42,25,67,37,5,6,40,5,42.5,38.1,27.9,66.0,624,1292,1.24,0.74,1.97,1.09,1.82,1.25,0.82,2.07,1.12,1.94
