Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Ajax,30,34.0,46,1,0,313,353,74,756,259,348,3,1,0,1981,409,376,52.1
AZ Alkmaar,29,34.0,51,1,0,342,298,57,572,315,320,3,5,0,1944,482,487,49.7
Cambuur,31,34.0,49,4,1,360,314,46,657,293,353,2,7,3,1750,449,553,44.8
Emmen,30,34.0,43,2,2,323,363,44,589,311,362,1,2,1,1919,456,515,47.0
Excelsior,28,34.0,49,1,1,334,288,38,557,370,384,2,1,2,1885,480,538,47.2
Feyenoord,30,34.0,47,0,0,301,303,40,771,289,340,3,1,2,2100,415,351,54.2
Fortuna Sittard,28,34.0,63,3,2,323,315,71,631,370,355,7,3,2,1881,496,425,53.9
Go Ahead Eag,27,34.0,51,2,0,368,334,37,620,332,331,3,2,2,1889,495,572,46.4
Groningen,36,34.0,51,5,1,325,279,50,524,312,384,1,7,0,1869,451,508,47.0
Heerenveen,26,34.0,51,1,0,325,324,46,633,362,317,3,5,1,1960,493,438,53.0
NEC Nijmegen,22,34.0,48,3,0,358,453,36,623,256,290,4,4,1,1817,426,414,50.7
PSV Eindhoven,32,34.0,47,3,1,327,305,52,727,304,354,6,2,2,2194,560,464,54.7
RKC Waalwijk,27,34.0,57,2,0,342,277,55,476,312,333,3,8,1,1840,334,373,47.2
Sparta R'dam,30,34.0,42,3,1,324,299,44,624,315,290,4,3,1,1780,713,564,55.8
Twente,26,34.0,45,1,0,359,321,48,755,318,373,1,2,1,2140,491,553,47.0
Utrecht,33,34.0,52,1,0,312,292,36,694,340,350,4,1,0,1934,572,493,53.7
Vitesse,30,34.0,51,5,1,370,319,55,656,315,321,1,2,1,2050,501,541,48.1
Volendam,31,34.0,41,3,0,340,271,64,561,336,381,0,4,4,1993,520,578,47.4
