Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Arminia,26,34.0,552,328,268,229,55,214,536,39.9,322,393,122,271,418,970,739,9
Augsburg,25,34.0,509,308,251,211,47,201,503,40.0,302,395,116,279,454,963,852,8
Bayern Munich,29,34.0,510,316,174,231,105,224,541,41.4,317,388,75,313,399,909,398,10
Dortmund,26,34.0,516,318,221,210,85,219,487,45.0,268,379,95,284,413,929,472,12
Eint Frankfurt,25,34.0,594,352,273,245,76,263,596,44.1,333,371,77,294,428,1022,594,10
Freiburg,24,34.0,431,247,188,186,57,168,448,37.5,280,365,118,247,452,883,631,8
Hertha BSC,32,34.0,485,270,242,201,42,205,493,41.6,288,377,89,288,417,902,687,8
Hoffenheim,30,34.0,508,296,229,204,75,229,539,42.5,310,370,90,280,431,939,619,8
Köln,28,34.0,586,328,299,234,53,248,546,45.4,298,382,101,281,429,1015,670,8
Leverkusen,30,34.0,500,282,209,238,53,213,498,42.8,285,368,87,281,322,822,481,10
M'Gladbach,23,34.0,503,307,221,221,61,215,531,40.5,316,424,116,308,436,939,616,6
Mainz 05,31,34.0,593,364,266,239,88,258,574,44.9,316,419,109,310,500,1093,662,6
RB Leipzig,25,34.0,460,305,167,229,64,190,460,41.3,270,336,63,273,353,813,504,5
Schalke 04,42,34.0,552,337,283,224,45,203,546,37.2,343,437,143,294,411,963,693,12
Stuttgart,29,34.0,496,294,227,201,68,235,531,44.3,296,379,108,271,426,922,654,8
Union Berlin,27,34.0,503,283,240,218,45,232,501,46.3,269,367,85,282,405,908,605,9
Werder Bremen,27,34.0,542,333,270,217,55,228,556,41.0,328,368,101,267,407,949,798,10
Wolfsburg,26,34.0,594,363,271,256,67,271,599,45.2,328,465,79,386,477,1071,700,6
