Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Ajax,30,34.0,35,1,1,288,337,71,813,328,336,7,0,0,2208,609,407,59.9
AZ Alkmaar,28,34.0,52,1,0,343,284,75,658,337,319,6,0,0,2084,585,580,50.2
Cambuur,27,34.0,54,3,2,334,343,49,401,331,314,5,2,1,1796,476,569,45.6
Feyenoord,31,34.0,41,0,0,329,304,69,704,313,366,3,4,1,2240,497,434,53.4
Fortuna Sittard,29,34.0,62,1,0,380,313,47,527,376,300,2,2,1,1980,597,546,52.2
Go Ahead Eag,26,34.0,39,5,2,298,322,56,512,393,289,2,4,1,1996,557,652,46.1
Groningen,28,34.0,55,4,1,358,355,51,639,373,371,1,2,2,1935,518,644,44.6
Heerenveen,32,34.0,42,2,1,290,277,55,546,325,350,1,8,1,1880,504,452,52.7
Heracles Almelo,31,34.0,55,3,1,365,325,61,643,400,373,2,5,2,2019,476,500,48.8
NEC Nijmegen,25,34.0,50,3,0,339,400,52,489,352,346,3,4,1,1955,471,508,48.1
PSV Eindhoven,30,34.0,42,0,0,285,313,54,600,425,388,1,2,2,2269,462,366,55.8
RKC Waalwijk,26,34.0,54,1,0,386,303,55,546,428,293,1,8,0,2073,534,508,51.2
Sparta R'dam,32,34.0,58,3,0,345,288,49,499,379,355,1,6,2,1941,649,629,50.8
Twente,28,34.0,54,3,2,373,375,39,527,364,361,5,1,2,2129,679,712,48.8
Utrecht,36,34.0,53,0,0,365,345,44,730,399,358,5,4,3,2079,662,608,52.1
Vitesse,29,34.0,69,6,2,397,356,58,652,373,355,3,5,2,2101,581,571,50.4
Willem II,33,34.0,42,6,2,297,301,55,656,311,333,0,3,2,2000,487,598,44.9
Zwolle,32,34.0,50,2,0,420,320,63,655,395,343,3,4,3,2082,689,749,47.9
