Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Almería,29,38.0,49,439,155,35.3,11.55,4.08,0.11,0.30,18.1,21,2,3,45.5,43.2,0.10,+3.5,+3.8
Athletic Club,26,38.0,46,541,157,29.0,14.24,4.13,0.08,0.26,17.1,13,5,7,54.2,48.7,0.09,-8.2,-7.7
Atlético Madrid,27,38.0,68,538,195,36.2,14.16,5.13,0.12,0.34,17.0,9,1,1,62.3,61.5,0.12,+5.7,+5.5
Barcelona,29,38.0,69,570,187,32.8,15.00,4.92,0.12,0.37,15.8,20,0,2,75.5,74.0,0.13,-6.5,-5.0
Betis,30,38.0,43,411,138,33.6,10.82,3.63,0.09,0.25,18.1,21,8,9,51.8,44.8,0.11,-8.8,-9.8
Cádiz,38,38.0,29,390,108,27.7,10.26,2.84,0.06,0.23,18.2,12,4,5,41.6,37.7,0.10,-12.6,-12.7
Celta Vigo,26,38.0,41,470,160,34.0,12.37,4.21,0.08,0.24,19.0,19,2,3,42.8,40.4,0.09,-1.8,-1.4
Elche,32,38.0,30,400,124,31.0,10.53,3.26,0.07,0.21,16.9,10,4,5,37.5,33.6,0.09,-7.5,-7.6
Espanyol,33,38.0,51,417,151,36.2,10.97,3.97,0.11,0.30,17.3,13,5,5,48.3,44.4,0.11,+2.7,+1.6
Getafe,25,38.0,34,365,116,31.8,9.61,3.05,0.08,0.25,18.0,19,5,8,36.7,30.4,0.09,-2.7,-1.4
Girona,29,38.0,55,446,160,35.9,11.74,4.21,0.11,0.29,17.2,6,8,9,50.4,43.6,0.10,+4.6,+3.4
Mallorca,31,38.0,36,324,107,33.0,8.53,2.82,0.10,0.30,17.4,8,4,5,35.2,31.1,0.10,+0.8,+0.9
Osasuna,26,38.0,36,441,133,30.2,11.61,3.50,0.07,0.24,18.7,7,4,5,39.4,35.5,0.08,-3.4,-3.5
Rayo Vallecano,28,38.0,41,510,146,28.6,13.42,3.84,0.07,0.25,20.6,24,4,8,43.9,37.8,0.08,-2.9,-0.8
Real Madrid,26,38.0,73,634,206,32.5,16.68,5.42,0.10,0.31,18.6,32,9,12,75.5,66.1,0.11,-2.5,-2.1
Real Sociedad,30,38.0,47,465,173,37.2,12.24,4.55,0.10,0.26,17.4,15,2,4,52.7,49.6,0.11,-5.7,-4.6
Sevilla,35,38.0,47,463,141,30.5,12.18,3.71,0.09,0.30,18.1,17,4,5,46.3,42.4,0.09,+0.7,+0.6
Valencia,28,38.0,40,480,140,29.2,12.63,3.68,0.07,0.25,17.5,18,5,8,49.3,43.0,0.09,-9.3,-8.0
Valladolid,36,38.0,32,443,137,30.9,11.66,3.61,0.07,0.21,19.6,19,3,4,38.6,35.5,0.08,-6.6,-6.5
Villarreal,32,38.0,57,499,188,37.7,13.13,4.95,0.11,0.28,18.0,22,4,7,61.7,56.1,0.12,-4.7,-3.1
