Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Alavés,30,28.7,42.8,38,418,3420,38.0,35,21,56,30,5,8,96,8,42.6,36.4,27.4,63.7,404,938,0.92,0.55,1.47,0.79,1.34,1.12,0.72,1.84,0.96,1.68
Athletic Club,27,26.6,49.9,38,418,3420,38.0,43,31,74,39,4,5,82,3,43.1,39.2,31.3,70.5,685,1496,1.13,0.82,1.95,1.03,1.84,1.13,0.82,1.96,1.03,1.86
Atlético Madrid,25,27.3,52.3,38,418,3420,38.0,65,54,119,60,5,7,100,0,52.8,47.2,40.6,87.8,694,1604,1.71,1.42,3.13,1.58,3.00,1.39,1.07,2.46,1.24,2.31
Barcelona,25,26.4,65.5,38,418,3420,38.0,80,51,131,76,4,8,72,2,73.5,67.1,53.2,120.2,972,2157,2.11,1.34,3.45,2.00,3.34,1.94,1.40,3.33,1.77,3.16
Betis,25,27.9,53.6,38,418,3420,38.0,50,35,85,42,8,11,93,8,49.1,40.5,33.4,73.9,694,1441,1.32,0.92,2.24,1.11,2.03,1.29,0.88,2.17,1.07,1.94
Cádiz,34,28.8,34.8,38,418,3420,38.0,33,16,49,29,4,4,81,3,34.7,31.6,20.4,52.0,455,854,0.87,0.42,1.29,0.76,1.18,0.91,0.54,1.45,0.83,1.37
Celta Vigo,30,26.6,53.3,38,418,3420,38.0,55,39,94,48,7,7,109,5,50.4,44.9,36.7,81.6,514,1308,1.45,1.03,2.47,1.26,2.29,1.33,0.97,2.29,1.18,2.15
Eibar,30,28.2,49.3,38,418,3420,38.0,29,20,49,25,4,9,71,3,45.2,38.3,29.9,68.2,507,1295,0.76,0.53,1.29,0.66,1.18,1.19,0.79,1.98,1.01,1.79
Elche,30,28.1,47.5,38,418,3420,38.0,33,25,58,31,2,3,99,3,29.9,27.5,21.8,49.4,500,927,0.87,0.66,1.53,0.82,1.47,0.79,0.57,1.36,0.72,1.30
Getafe,31,26.7,43.3,38,418,3420,38.0,27,14,41,24,3,5,120,7,34.4,30.5,23.6,54.1,443,1090,0.71,0.37,1.08,0.63,1.00,0.91,0.62,1.53,0.80,1.42
Granada,34,27.4,41.4,38,418,3420,38.0,47,30,77,44,3,5,97,6,41.1,37.3,26.8,64.0,411,975,1.24,0.79,2.03,1.16,1.95,1.08,0.70,1.79,0.98,1.68
Huesca,27,28.0,48.3,38,418,3420,38.0,32,23,55,29,3,4,69,2,38.9,36.1,26.7,62.8,618,1185,0.84,0.61,1.45,0.76,1.37,1.02,0.70,1.73,0.95,1.65
Levante,29,28.0,52.2,38,418,3420,38.0,45,35,80,42,3,6,68,1,40.4,35.7,29.6,65.3,619,1537,1.18,0.92,2.11,1.11,2.03,1.06,0.78,1.84,0.94,1.72
Osasuna,28,27.9,43.2,38,418,3420,38.0,36,25,61,31,5,6,80,5,38.7,34.7,24.9,59.7,345,1220,0.95,0.66,1.61,0.82,1.47,1.02,0.66,1.68,0.91,1.57
Real Madrid,30,27.9,59.3,38,418,3420,38.0,64,53,117,61,3,3,59,2,61.5,59.2,47.4,106.5,963,1920,1.68,1.39,3.08,1.61,3.00,1.62,1.25,2.87,1.56,2.80
Real Sociedad,30,25.0,54.9,38,418,3420,38.0,58,39,97,49,9,12,81,1,60.7,51.5,39.6,91.1,626,1554,1.53,1.03,2.55,1.29,2.32,1.60,1.04,2.64,1.36,2.40
Sevilla,26,28.1,60.9,38,418,3420,38.0,52,36,88,46,6,7,79,2,54.4,48.9,41.0,90.0,691,1627,1.37,0.95,2.32,1.21,2.16,1.43,1.08,2.51,1.29,2.37
Valencia,30,25.2,46.9,38,418,3420,38.0,48,35,83,40,8,10,82,5,42.6,34.8,27.3,62.1,575,1180,1.26,0.92,2.18,1.05,1.97,1.12,0.72,1.84,0.92,1.63
Valladolid,32,28.1,45.2,38,418,3420,38.0,34,21,55,27,7,8,93,4,40.1,33.8,24.2,58.0,564,1101,0.89,0.55,1.45,0.71,1.26,1.05,0.64,1.69,0.89,1.53
Villarreal,29,28.0,55.2,38,418,3420,38.0,57,33,90,45,12,13,67,5,56.4,46.4,40.5,86.9,737,1628,1.50,0.87,2.37,1.18,2.05,1.48,1.06,2.55,1.22,2.29
