Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Ajax,30,34.0,551,336,211,234,106,240,487,49.3,247,335,70,265,328,879,409,8
AZ Alkmaar,28,34.0,561,319,196,274,91,260,567,45.9,307,331,69,262,337,898,535,12
Cambuur,27,34.0,561,314,296,212,53,258,605,42.6,347,385,130,255,331,892,808,14
Feyenoord,31,34.0,594,366,234,251,109,296,571,51.8,275,347,75,272,313,907,455,14
Fortuna Sittard,29,34.0,534,300,280,193,61,262,600,43.7,338,422,157,265,376,910,883,14
Go Ahead Eag,26,34.0,517,289,262,191,64,267,578,46.2,311,419,143,276,393,910,781,12
Groningen,28,34.0,582,371,297,207,78,260,616,42.2,356,393,116,277,373,955,606,20
Heerenveen,32,34.0,605,350,328,214,63,264,553,47.7,289,372,116,256,325,930,696,12
Heracles Almelo,31,34.0,608,373,315,232,61,252,557,45.2,305,404,117,287,400,1008,579,12
NEC Nijmegen,25,34.0,596,346,322,218,56,280,635,44.1,355,407,132,275,352,948,780,11
PSV Eindhoven,30,34.0,620,388,248,265,107,299,639,46.8,340,352,84,268,425,1045,468,12
RKC Waalwijk,26,34.0,536,293,285,190,61,247,553,44.7,306,400,137,263,428,964,739,13
Sparta R'dam,32,34.0,601,355,295,238,68,306,676,45.3,370,396,110,286,379,980,846,9
Twente,28,34.0,604,361,264,251,89,289,659,43.9,370,352,98,254,364,968,640,8
Utrecht,36,34.0,613,358,281,242,90,295,600,49.2,305,374,110,264,399,1012,640,7
Vitesse,29,34.0,597,355,265,267,65,269,614,43.8,345,362,93,269,373,970,560,10
Willem II,33,34.0,565,333,255,237,73,243,570,42.6,327,416,138,278,311,876,730,13
Zwolle,32,34.0,622,343,307,244,71,245,578,42.4,333,374,112,262,395,1017,635,13
