Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Augsburg,34,34.0,96,5,2,433,356,58,548,286,299,3,4,2,1792,640,777,45.2
Bayern Munich,28,34.0,49,3,2,306,335,84,603,287,387,5,10,0,2085,471,381,55.3
Bochum,26,34.0,64,1,0,429,354,66,568,337,386,3,14,3,1991,770,737,51.1
Dortmund,30,34.0,66,0,0,322,407,41,677,298,334,6,1,1,1958,425,364,53.9
Eint Frankfurt,28,34.0,71,1,1,429,377,70,616,284,357,6,2,1,2088,467,555,45.7
Freiburg,27,34.0,62,2,1,404,424,57,547,325,289,7,6,0,1754,743,686,52.0
Hertha BSC,32,34.0,82,1,1,422,394,58,516,366,344,4,6,0,1835,633,701,47.5
Hoffenheim,31,34.0,80,5,3,471,368,78,577,285,323,7,3,1,1843,550,557,49.7
Köln,27,34.0,75,3,3,400,352,68,790,372,370,2,5,3,2022,659,608,52.0
Leverkusen,27,34.0,75,7,3,382,409,51,461,294,280,6,7,2,1918,430,492,46.6
M'Gladbach,27,34.0,62,3,1,338,447,72,441,267,275,3,6,1,1718,415,419,49.8
Mainz 05,27,34.0,69,1,0,476,334,74,610,433,341,5,8,0,2081,740,703,51.3
RB Leipzig,25,34.0,69,2,1,393,402,80,489,310,312,5,8,2,1966,440,433,50.4
Schalke 04,35,34.0,68,1,0,427,391,70,764,306,329,3,6,1,1896,692,739,48.4
Stuttgart,30,34.0,72,5,4,346,407,56,597,308,316,4,6,1,1989,547,470,53.8
Union Berlin,28,34.0,65,2,1,445,345,62,708,262,278,4,7,0,1833,767,755,50.4
Werder Bremen,25,34.0,76,1,0,426,369,65,514,321,349,3,3,2,1987,631,622,50.4
Wolfsburg,28,34.0,63,0,0,390,451,50,568,292,324,6,7,3,1800,525,546,49.0
