Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Arminia,26,26.0,42.3,34,374,3060,34.0,23,16,39,22,1,2,52,1,32.9,31.3,23.9,55.2,358,880,0.68,0.47,1.15,0.65,1.12,0.97,0.70,1.67,0.92,1.62
Augsburg,25,27.0,41.4,34,374,3060,34.0,35,23,58,33,2,5,70,4,37.3,33.4,25.9,59.3,431,987,1.03,0.68,1.71,0.97,1.65,1.10,0.76,1.86,0.98,1.74
Bayern Munich,29,27.3,60.7,34,374,3060,34.0,98,75,173,89,9,10,44,3,75.9,68.1,55.2,123.3,829,2084,2.88,2.21,5.09,2.62,4.82,2.23,1.62,3.86,2.00,3.63
Dortmund,26,25.6,59.6,34,374,3060,34.0,74,57,131,71,3,7,44,1,66.2,60.4,51.2,111.5,763,1745,2.18,1.68,3.85,2.09,3.76,1.95,1.50,3.45,1.78,3.28
Eint Frankfurt,25,27.2,53.7,34,374,3060,34.0,63,52,115,55,8,8,82,1,58.5,52.2,44.0,96.2,664,1548,1.85,1.53,3.38,1.62,3.15,1.72,1.29,3.01,1.54,2.83
Freiburg,24,26.2,47.3,34,374,3060,34.0,51,34,85,45,6,6,62,0,45.5,40.9,29.5,70.4,463,1170,1.50,1.00,2.50,1.32,2.32,1.34,0.87,2.21,1.20,2.07
Hertha BSC,32,25.4,49.6,34,374,3060,34.0,40,29,69,36,4,6,67,3,41.9,37.2,29.1,66.2,589,1176,1.18,0.85,2.03,1.06,1.91,1.23,0.86,2.09,1.09,1.95
Hoffenheim,30,25.7,51.2,34,374,3060,34.0,51,38,89,46,5,6,68,4,51.9,47.3,37.4,84.6,581,1517,1.50,1.12,2.62,1.35,2.47,1.53,1.10,2.62,1.39,2.49
Köln,28,24.9,46.3,34,374,3060,34.0,33,23,56,29,4,6,63,1,40.5,35.9,25.5,61.5,429,1131,0.97,0.68,1.65,0.85,1.53,1.19,0.75,1.94,1.06,1.81
Leverkusen,30,25.4,59.7,34,374,3060,34.0,52,41,93,49,3,3,58,0,46.3,44.0,34.7,78.7,724,1522,1.53,1.21,2.74,1.44,2.65,1.36,1.02,2.38,1.29,2.32
M'Gladbach,23,26.9,51.7,34,374,3060,34.0,63,44,107,53,10,11,61,2,54.9,46.5,37.1,83.6,613,1371,1.85,1.29,3.15,1.56,2.85,1.62,1.09,2.71,1.37,2.46
Mainz 05,31,25.8,40.7,34,374,3060,34.0,39,23,62,34,5,5,63,1,49.9,46.0,34.9,80.9,442,1046,1.15,0.68,1.82,1.00,1.68,1.47,1.03,2.49,1.35,2.38
RB Leipzig,25,25.0,59.7,34,374,3060,34.0,59,44,103,51,8,10,57,0,64.4,56.7,43.7,100.4,624,1719,1.74,1.29,3.03,1.50,2.79,1.89,1.28,3.18,1.67,2.95
Schalke 04,42,25.9,44.7,34,374,3060,34.0,24,20,44,24,0,3,74,2,28.7,26.3,20.6,46.9,452,943,0.71,0.59,1.29,0.71,1.29,0.84,0.61,1.45,0.77,1.38
Stuttgart,29,24.1,51.5,34,374,3060,34.0,54,42,96,48,6,8,65,2,51.4,45.1,37.1,82.2,701,1467,1.59,1.24,2.82,1.41,2.65,1.51,1.09,2.60,1.33,2.42
Union Berlin,27,27.3,44.9,34,374,3060,34.0,50,39,89,45,5,7,57,2,46.9,41.3,33.4,74.7,464,1059,1.47,1.15,2.62,1.32,2.47,1.38,0.98,2.36,1.22,2.20
Werder Bremen,27,26.3,43.9,34,374,3060,34.0,35,25,60,30,5,5,67,3,32.9,29.0,21.5,50.5,414,1065,1.03,0.74,1.76,0.88,1.62,0.97,0.63,1.60,0.85,1.49
Wolfsburg,26,25.6,51.1,34,374,3060,34.0,57,48,105,55,2,3,58,3,49.0,46.9,37.7,84.5,595,1397,1.68,1.41,3.09,1.62,3.03,1.44,1.11,2.55,1.38,2.49
