Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
ADO Den Haag,37,34.0,27,281,90,32.0,8.26,2.65,0.08,0.26,20.3,7,4,5,26.1,22.2,0.08,0.9,0.8
Ajax,30,34.0,99,650,249,38.3,19.12,7.32,0.14,0.36,16.0,21,10,11,97.5,90.0,0.14,1.5,-1.0
AZ Alkmaar,25,34.0,72,461,179,38.8,13.56,5.26,0.14,0.35,17.3,15,9,13,69.0,59.0,0.13,3.0,4.0
Emmen,32,34.0,39,385,119,30.9,11.32,3.50,0.08,0.25,19.2,29,9,10,45.5,37.8,0.10,-6.5,-7.8
Feyenoord,30,34.0,63,520,170,32.7,15.29,5.00,0.10,0.32,18.4,12,9,11,64.2,57.1,0.11,-1.2,-3.1
Fortuna Sittard,30,34.0,49,378,146,38.6,11.12,4.29,0.12,0.31,18.6,20,4,4,46.4,43.6,0.12,2.6,1.4
Groningen,29,34.0,39,393,121,30.8,11.56,3.56,0.10,0.32,18.5,17,0,0,42.1,42.1,0.11,-3.1,-3.1
Heerenveen,24,34.0,43,389,143,36.8,11.44,4.21,0.10,0.28,18.2,14,3,4,46.0,42.9,0.11,-3.0,-2.9
Heracles Almelo,28,34.0,42,337,116,34.4,9.91,3.41,0.11,0.32,18.2,15,5,6,43.6,38.9,0.12,-1.6,-1.9
PSV Eindhoven,36,34.0,72,508,203,40.0,14.94,5.97,0.13,0.33,17.2,20,5,9,70.6,63.7,0.13,1.4,3.3
RKC Waalwijk,27,34.0,33,353,132,37.4,10.38,3.88,0.09,0.23,19.1,12,2,2,31.6,30.1,0.09,1.4,0.9
Sparta R'dam,23,34.0,48,437,142,32.5,12.85,4.18,0.10,0.30,18.7,11,5,5,46.4,42.5,0.10,1.6,0.5
Twente,28,34.0,47,387,141,36.4,11.38,4.15,0.11,0.29,18.1,8,6,7,45.5,40.0,0.11,1.5,1.0
Utrecht,31,34.0,50,500,178,35.6,14.71,5.24,0.09,0.26,16.7,7,4,6,67.1,62.9,0.13,-17.1,-16.9
Vitesse,26,34.0,52,520,163,31.3,15.29,4.79,0.09,0.29,19.6,49,4,4,49.6,46.5,0.09,2.4,1.5
VVV-Venlo,29,34.0,42,314,100,31.8,9.24,2.94,0.11,0.34,17.8,8,8,9,41.0,34.0,0.11,1.0,0.0
Willem II,30,34.0,39,378,139,36.8,11.12,4.09,0.10,0.26,18.2,23,3,3,42.6,40.3,0.11,-3.6,-4.3
Zwolle,27,34.0,42,429,141,32.9,12.62,4.15,0.09,0.26,20.0,14,5,6,42.5,38.1,0.09,-0.5,-1.1
