Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
ADO Den Haag,37,34.0,542,320,324,180,38,241,553,43.6,312,400,176,224,420,962,789,13
Ajax,30,34.0,548,327,200,241,107,200,513,39.0,313,324,64,260,408,956,377,7
AZ Alkmaar,25,34.0,490,276,184,234,72,214,517,41.4,303,298,83,215,405,895,511,5
Emmen,32,34.0,553,319,283,215,55,213,572,37.2,359,345,113,232,375,928,676,16
Feyenoord,30,34.0,572,346,259,239,74,238,569,41.8,331,331,75,256,410,982,543,12
Fortuna Sittard,30,34.0,574,334,280,227,67,255,613,41.6,358,355,107,248,459,1033,782,6
Groningen,29,34.0,531,326,283,184,64,228,529,43.1,301,364,95,269,457,988,619,9
Heerenveen,24,34.0,592,337,320,219,53,287,635,45.2,348,415,128,287,457,1049,810,6
Heracles Almelo,28,34.0,665,426,331,274,60,286,622,46.0,336,428,104,324,467,1132,564,12
PSV Eindhoven,36,34.0,540,327,218,255,67,239,539,44.3,300,368,69,299,461,1001,471,9
RKC Waalwijk,27,34.0,532,294,265,211,56,240,580,41.4,340,381,107,274,465,997,612,7
Sparta R'dam,23,34.0,633,361,320,249,64,272,624,43.6,352,350,83,267,442,1075,698,10
Twente,28,34.0,604,370,283,247,74,247,560,44.1,313,380,80,300,437,1041,617,8
Utrecht,31,34.0,589,366,302,227,60,240,512,46.9,272,399,106,293,435,1024,483,7
Vitesse,26,34.0,599,351,259,258,82,288,652,44.2,364,357,83,274,399,998,466,12
VVV-Venlo,29,34.0,549,317,297,196,56,257,593,43.3,336,374,136,238,424,973,730,4
Willem II,30,34.0,615,363,293,263,59,237,581,40.8,344,414,118,296,449,1064,626,6
Zwolle,27,34.0,586,354,284,227,75,271,642,42.2,371,339,96,243,429,1015,647,16
